ID,class
0,3
1,1
2,0
3,3
4,6
5,4
6,5
7,0
8,4
9,0
10,7
11,6
12,1
13,3
14,1
15,8
16,5
17,1
18,8
19,7
20,1
21,0
22,1
23,1
24,3
25,7
26,8
27,1
28,0
29,4
30,7
31,5
32,8
33,4
34,1
35,1
36,5
37,7
38,7
39,6
40,5
41,1
42,1
43,4
44,2
45,3
46,6
47,4
48,3
49,1
50,6
51,6
52,8
53,6
54,1
55,2
56,8
57,0
58,7
59,7
60,2
61,6
62,3
63,2
64,3
65,1
66,0
67,5
68,4
69,3
70,1
71,6
72,3
73,8
74,6
75,4
76,2
77,6
78,1
79,8
80,2
81,5
82,1
83,3
84,1
85,2
86,3
87,7
88,7
89,7
90,0
91,7
92,1
93,6
94,1
95,5
96,6
97,0
98,3
99,1
100,6
101,2
102,1
103,8
104,0
105,3
106,8
107,1
108,7
109,4
110,7
111,1
112,1
113,6
114,0
115,1
116,1
117,4
118,1
119,3
120,2
121,1
122,5
123,6
124,1
125,6
126,3
127,6
128,6
129,7
130,2
131,1
132,0
133,3
134,8
135,1
136,5
137,0
138,7
139,3
140,6
141,6
142,0
143,3
144,8
145,6
146,2
147,6
148,7
149,6
150,7
151,4
152,7
153,3
154,1
155,1
156,4
157,2
158,1
159,8
160,8
161,8
162,0
163,6
164,1
165,2
166,3
167,1
168,8
169,0
170,4
171,4
172,5
173,0
174,1
175,1
176,4
177,4
178,1
179,5
180,5
181,6
182,6
183,2
184,6
185,1
186,0
187,1
188,1
189,3
190,7
191,0
192,3
193,2
194,5
195,5
196,8
197,7
198,1
199,5
200,3
201,6
202,1
203,2
204,0
205,1
206,3
207,2
208,6
209,8
210,3
211,0
212,1
213,5
214,3
215,0
216,5
217,6
218,3
219,3
220,8
221,7
222,0
223,6
224,1
225,5
226,4
227,3
228,5
229,4
230,8
231,1
232,3
233,3
234,1
235,6
236,6
237,2
238,3
239,6
240,6
241,0
242,4
243,7
244,1
245,6
246,6
247,4
248,1
249,0
250,3
251,4
252,0
253,8
254,5
255,6
256,4
257,8
258,3
259,3
260,3
261,0
262,6
263,3
264,0
265,8
266,5
267,3
268,6
269,8
270,1
271,1
272,5
273,7
274,0
275,5
276,3
277,1
278,8
279,4
280,1
281,1
282,7
283,8
284,1
285,6
286,2
287,3
288,7
289,7
290,8
291,5
292,7
293,8
294,5
295,1
296,7
297,4
298,8
299,1
300,1
301,2
302,7
303,1
304,8
305,4
306,0
307,6
308,0
309,5
310,3
311,7
312,0
313,3
314,7
315,2
316,5
317,3
318,3
319,8
320,1
321,6
322,3
323,1
324,6
325,3
326,3
327,7
328,4
329,7
330,1
331,3
332,6
333,7
334,2
335,3
336,0
337,3
338,1
339,2
340,7
341,6
342,8
343,7
344,3
345,8
346,5
347,6
348,4
349,1
350,3
351,1
352,5
353,0
354,1
355,0
356,1
357,6
358,7
359,7
360,0
361,6
362,4
363,0
364,8
365,3
366,1
367,1
368,6
369,3
370,6
371,7
372,6
373,4
374,1
375,7
376,7
377,1
378,1
379,3
380,2
381,3
382,1
383,0
384,0
385,5
386,6
387,1
388,6
389,5
390,6
391,5
392,1
393,0
394,2
395,3
396,1
397,5
398,3
399,7
400,2
401,4
402,6
403,5
404,8
405,4
406,0
407,3
408,8
409,3
410,3
411,8
412,8
413,1
414,6
415,7
416,0
417,6
418,1
419,6
420,8
421,3
422,5
423,1
424,6
425,8
426,6
427,3
428,8
429,4
430,0
431,6
432,5
433,4
434,1
435,6
436,0
437,7
438,8
439,7
440,7
441,7
442,1
443,3
444,6
445,1
446,4
447,0
448,3
449,6
450,6
451,1
452,1
453,6
454,6
455,3
456,3
457,3
458,3
459,0
460,8
461,3
462,1
463,5
464,6
465,2
466,0
467,4
468,8
469,8
470,1
471,0
472,8
473,5
474,4
475,6
476,5
477,1
478,6
479,6
480,1
481,0
482,7
483,7
484,8
485,5
486,1
487,6
488,6
489,3
490,0
491,1
492,3
493,0
494,8
495,8
496,7
497,6
498,7
499,1
500,2
501,6
502,1
503,7
504,3
505,6
506,3
507,6
508,2
509,6
510,8
511,5
512,8
513,3
514,0
515,8
516,5
517,3
518,3
519,3
520,5
521,2
522,7
523,7
524,6
525,5
526,6
527,6
528,4
529,6
530,3
531,3
532,8
533,5
534,5
535,1
536,6
537,7
538,7
539,4
540,4
541,3
542,6
543,1
544,3
545,7
546,2
547,0
548,1
549,6
550,1
551,0
552,5
553,1
554,1
555,7
556,6
557,1
558,6
559,5
560,1
561,6
562,3
563,2
564,3
565,5
566,2
567,8
568,5
569,8
570,3
571,8
572,1
573,2
574,0
575,0
576,0
577,6
578,0
579,4
580,0
581,7
582,3
583,6
584,7
585,4
586,3
587,6
588,5
589,6
590,4
591,8
592,6
593,7
594,2
595,1
596,1
597,2
598,2
599,3
600,8
601,0
602,7
603,3
604,1
605,0
606,2
607,8
608,3
609,2
610,4
611,8
612,2
613,5
614,8
615,5
616,3
617,6
618,7
619,8
620,1
621,5
622,0
623,5
624,3
625,7
626,3
627,3
628,1
629,3
630,6
631,1
632,1
633,0
634,1
635,8
636,8
637,8
638,8
639,3
640,1
641,1
642,2
643,4
644,5
645,1
646,7
647,5
648,0
649,3
650,2
651,7
652,3
653,8
654,3
655,2
656,8
657,4
658,3
659,5
660,8
661,4
662,3
663,7
664,3
665,6
666,7
667,4
668,6
669,8
670,8
671,8
672,3
673,3
674,7
675,1
676,1
677,6
678,1
679,3
680,3
681,8
682,1
683,5
684,5
685,0
686,7
687,5
688,3
689,4
690,1
691,8
692,6
693,7
694,8
695,8
696,8
697,7
698,7
699,0
700,1
701,3
702,7
703,3
704,6
705,0
706,5
707,0
708,4
709,8
710,3
711,8
712,3
713,2
714,3
715,7
716,3
717,7
718,8
719,0
720,4
721,3
722,6
723,2
724,3
725,6
726,1
727,3
728,1
729,2
730,7
731,4
732,7
733,1
734,0
735,1
736,3
737,6
738,3
739,6
740,8
741,4
742,2
743,5
744,2
745,4
746,2
747,5
748,7
749,1
750,1
751,4
752,6
753,7
754,6
755,0
756,1
757,2
758,8
759,6
760,3
761,0
762,6
763,8
764,3
765,6
766,4
767,5
768,4
769,5
770,3
771,2
772,2
773,1
774,2
775,6
776,0
777,1
778,5
779,1
780,3
781,1
782,0
783,3
784,4
785,1
786,0
787,3
788,1
789,2
790,2
791,1
792,7
793,7
794,2
795,7
796,1
797,5
798,8
799,1
800,4
801,7
802,3
803,7
804,7
805,2
806,7
807,7
808,7
809,2
810,6
811,8
812,1
813,5
814,2
815,6
816,0
817,4
818,2
819,6
820,8
821,1
822,5
823,0
824,6
825,6
826,4
827,6
828,1
829,5
830,0
831,5
832,8
833,2
834,6
835,5
836,1
837,0
838,6
839,5
840,4
841,1
842,6
843,1
844,3
845,1
846,8
847,2
848,1
849,8
850,7
851,6
852,2
853,7
854,8
855,3
856,6
857,5
858,6
859,3
860,0
861,5
862,1
863,8
864,7
865,3
866,1
867,4
868,7
869,5
870,6
871,3
872,2
873,1
874,2
875,5
876,6
877,2
878,3
879,3
880,1
881,6
882,2
883,1
884,2
885,3
886,5
887,5
888,1
889,1
890,1
891,4
892,1
893,8
894,3
895,6
896,3
897,0
898,1
899,8
900,8
901,0
902,1
903,1
904,6
905,5
906,2
907,4
908,6
909,6
910,5
911,7
912,1
913,6
914,7
915,5
916,5
917,2
918,2
919,1
920,4
921,5
922,2
923,3
924,0
925,3
926,3
927,4
928,7
929,4
930,8
931,0
932,5
933,6
934,2
935,3
936,1
937,1
938,7
939,1
940,0
941,3
942,8
943,5
944,6
945,8
946,6
947,6
948,1
949,3
950,3
951,7
952,3
953,7
954,6
955,0
956,5
957,0
958,0
959,2
960,4
961,5
962,8
963,1
964,0
965,0
966,3
967,5
968,2
969,3
970,3
971,5
972,8
973,1
974,1
975,1
976,2
977,7
978,6
979,3
980,6
981,5
982,3
983,3
984,4
985,1
986,7
987,7
988,6
989,1
990,4
991,6
992,1
993,4
994,3
995,3
996,1
997,7
998,1
999,6
1000,3
1001,6
1002,6
1003,7
1004,0
1005,7
1006,6
1007,5
1008,1
1009,5
1010,7
1011,8
1012,7
1013,7
1014,0
1015,6
1016,5
1017,8
1018,6
1019,2
1020,0
1021,1
1022,7
1023,2
1024,3
1025,5
1026,3
1027,1
1028,1
1029,0
1030,0
1031,0
1032,1
1033,3
1034,2
1035,6
1036,0
1037,1
1038,6
1039,8
1040,2
1041,6
1042,3
1043,4
1044,3
1045,0
1046,7
1047,1
1048,6
1049,5
1050,6
1051,7
1052,7
1053,1
1054,3
1055,1
1056,1
1057,4
1058,3
1059,8
1060,6
1061,4
1062,3
1063,0
1064,6
1065,8
1066,6
1067,1
1068,1
1069,6
1070,4
1071,2
1072,7
1073,1
1074,3
1075,4
1076,1
1077,4
1078,8
1079,1
1080,8
1081,6
1082,7
1083,1
1084,1
1085,1
1086,5
1087,6
1088,1
1089,1
